train_id	name	item_condition_id	category_name	brand_name	price	shipping	item_description
1343222	Hold for Love@wpink	1	Kids/Toys/Party Supplies		17.0	0	"Great minnie mouse party bundle! -50 pink heavy duty plates 6¾ in. (17.1 cm) -40 hot pink/fuschia polka dot napkins 19.9"" X 15.7"" (33cm X 40cm) -Happy 1st Birthday banner. 33.5in X 65in. (85cm X 165.1cm) Over 5 feet long. -""Party door poster 2.25 Ft. X 5Ft. (68.5cm X 1.52m) ------DOES HAVE A LITTLE RIP, WONT REALLY SHOW. SEE 3RD PICTURE------ -6 Minnie Mouse hanging decorations ------WRAPS ARE RIPPED BUT THEY ARE NOT AFFECTED. ITS ONLY THE WRAPPER. SEE 2ND PICTURE------"
1403115	Hold for Mysterious	1	Kids/Girls (4+)/Jeans		20.0	1	Matilda Jane Benny's NWT Smoke and pet free home. Size 6
1393495	Gap shorts size 8	3	Women/Other/Other	Gap	12.0	1	Pink and orange print woven shorts with welt pockets in the front and back. VGUC Size 8
1364847	Cj Banks Partylite for Viking 444	3	Women/Tops & Blouses/Blouse	CJ Banks	28.0	0	Cj Banks 1X top Partylite Candle Holder and 2 Votives
1339539	YuGiOh The Falsebound Kingdom GameCube	3	Electronics/Video Games & Consoles/Games		12.0	1	Disc has minor scratches. Overall great condition .
1262505	Under Armours	2	Women/Athletic Apparel/Shirts & Tops	Under Armour	23.0	1	Two Underarmours Size: Small Color: GRAY & Black Long Sleeve Heat gear similar to nike pro dri fit Condition: Gently used but in excellent condition No flaws Same/ Next day ship PRICE IS FIRM Please don't b/s my ratings because you failed to read the descriptions especially if you didn't ask questions please don't make up nonsense, you will be blocked! No returns/ refunds / NO MODELING PINK // VS // ANGEL // BRAS // BOMBSHELL // LOVE PINK // NIKE /// ADIDAS // PUMA // MK // MISS ME
811065	Kenneth Cole Boots	3	Women/Shoes/Boots	Kenneth Cole New York	36.0	0	Only worn a few times. In perfect condition and super comfortable!
310616	American girl white armoire/dresser	4	Kids/Toys/Dolls & Accessories		45.0	0	"Played with condition, marks/scuffs from play inside and out 6 glitter letter stickers on top, refer to first pic 8"" deep 23"" wide 19 1/2"" tall No free shipping"
828784	Naked 2	3	Beauty/Makeup/Makeup Palettes	Urban Decay	21.0	0	"Good pallet-I just have too many! There is so much life left in this pallet. The only color I've used regularly is ""booty call"" which you can see I have begun to hit pan on. The rest of the colors are nearly full. Includes brush which is clean and sanitized."
1385423	Torrid 44b Lace Demi Bra	1	Women/Underwear/Bras	Torrid	24.0	0	Nwt
850832	**ON HOLD** Ciaté London Liquid Velvet	2	Beauty/Makeup/Lips		6.0	1	Liquid lipstick in Pin Up
966407	NEW BLING STASH JAR VERY PRETT for amber	1	Home/Home Décor/Candles & Holders	Yankee Candle	8.0	1	"BRAND NEW BLING STASH JAR VERY PRETTY ""VEGAS"" INSPIRED YOU CAN STORE ANYTHING IN IT MONEY,COINS,BUD,MAKEUP ETC... ASK FOR BUNDLES:) CHECKOUT MY CLOSET FOR AMAZING DEALS;) FREE SHIPPING ON ALL!!"
1157997	Nike workout tank top	2	Women/Athletic Apparel/Shirts & Tops	Nike	10.0	1	Vintage style. In excellent condition, worn once. Size XS
224202	Bundle Boots Size 10	1	Women/Shoes/Boots		30.0	0	Brown faux leather boots and black boots
1275109	MISS ME Denim Shorts	3	Women/Athletic Apparel/Shorts	Miss Me	16.0	0	Miss me Denim Shorts Size 26 (1/2) Super cute
7299	Xl Oregon Ducks	3	Men/Sweats & Hoodies/Hoodie		15.0	0	Hockey style sweatshirt, gently used. No obvious blemishes. Smoke free house
663639	IPhone 6/6s Plus Case	2	Electronics/Cell Phones & Accessories/Cases, Covers & Skins		7.0	0	Black corner protected IPhone 6/6s plus Case
243337	American Girl Table And Chair Set	3	Kids/Toys/Dolls & Accessories		27.0	0	This table and two chair set is not American Girl brand but is the perfect size for the dolls. It is made of wood and very good quality, rarely used!
316043	Mint Bath bombs *with essential oils	1	Beauty/Bath & Body/Bath		7.0	0	This listing is for 2 mint bath bombs they are 4oz approximate each 2.5 in diameter .made with essential oils and shea butter. Very moisturizing!!!!
403077	VS PINK Iridiscent Slides Freeship L	1	Women/Shoes/Sandals	PINK	39.0	1	NWT VS Pink Silver Iridiscent Comfort Slides in Large Fits size 9-10 Free Shipping. PRICE IS FIRM! Unless you're bundling with other items. Will be shipping within 2 days of handling time via USPS. Please make sure you know your size or the product that you intend to buy. Not accepting returns. Also, contact me before giving a negative rating. We'll find ways to resolve the problem if there is any. Thank you and Happy Shopping!
29562	LifeProof iPhone 6/6s FRĒ Phone Case	3	Electronics/Cell Phones & Accessories/Cases, Covers & Skins		29.0	0	Used-BUT IN AMAZING CONDITION! The hot pink around the edges has faded a little and the bottom when you plug your phone in is a little scuffed and torn. It has a few scratches and one little mark (almost like an indent) on the back, but that's it. It's Pink with Lime Green sides. It's Authentic.. I bought a few months ago, but also purchased a newer phone. It's WATERPROOF & the style is FRĒ.
334608	Capelli SZ 7 Women's Rain boots	3	Women/Shoes/Boots		16.0	0	Cute boots, Great condition.
725197	Medium Nicole lularoe	3	Women/Dresses/Knee-Length	LuLaRoe	28.0	1	Worn once. Very pretty!
134740	AMERICAN EAGLE BABY BLUE T-SHIRT	2	Women/Tops & Blouses/T-Shirts	American Eagle	11.0	0	USED | GOOD AS NEW
1423632	Authentic Brown Coach Wristlet	2	Handmade/Bags and Purses/Wristlet		13.0	0	No description yet
683164	Kenneth Cole Reaction Free Shipping	1	Women/Women's Handbags/Shoulder Bag	Kenneth Cole New York	15.0	1	"Brand new with tags. Black shopper bag is great! Use for the beach or pack it full with ur things.. 13""Hx16""Wx4.5"
164175	Lucky Brand Black Booties	3	Women/Shoes/Boots	Lucky Brand	35.0	1	Size 7 gently used condition.
1433340	NEW Lot of Ribbons 12 Spools	1	Handmade/Paper Goods/Scrapbooking		17.0	0	No description yet
1207580	Vera Bradley tote HOLD	2	Women/Women's Handbags/Totes & Shoppers	Vera Bradley	69.0	0	Bag has never been used however the make up bag was used. It has been washed and only has a few minor stains on the inside but cannot be seen with make up products in there. Paid 150 for both items. Vera Bradley pattern is pink swirl. Great for weekend trips! Does have a zip closure on the top
1440468	Free Ship PINK Cosmetics bag	1	Women/Women's Handbags/Cosmetic Bags	Victoria's Secret	10.0	1	Victoria's Secret PINK Cosmetic Bag / new and unused.
898192	2 pairs of authentic Coach summer shoes	3	Women/Shoes/Sandals	Coach	40.0	0	2 pair of Coach summer shoes 1 pair is light blue wedges that wrap around the ankle, they do have some marks, not bad and very wearable The other pair is a pair of Coach kitten heels. These do so wear, but still wearable and both are cute for summer. Items come from a smoke free home Comes with 2 lots of shorts, skirts and 1 pair of shorts
196126	Short casual dress	3	Women/Dresses/Above Knee, Mini		11.0	0	Long sleeve Very light and comfy flowy dress. Has a print of leaves and hedgehog on it. Very stylish and unique. Light used only worn once. Eric+lani brand by Macy's
204741	Pet Nail Grinder kit	2	Other/Pet Supplies/Dogs		26.0	1	Professional pet nail grinder kit that is easy to use! Like new condition. Master Grooming Tools professional pet nail grinder safely and efficiently grooms pets' nails for fast, smooth and accurate results. Powerful motor delivers 18,000 RPM. Features quick-change collet for easy changing of attachments and finger grooves with rubber, sure-grip pads for better control and a convenient hanging hook. Includes: 1 AC adapter 1 grinding drum 3 x 60-grit medium sanding bands 3 x 100-grit fine sanding bands 1 large grinding stone 1 small grinding stone each * felt polisher missing - price was adjusted for that 12-1/2-feet cord length. This product weighs is 0.60-pound. Measures 12-1/2-inch nail grinder length. ⚡️OFFERS WELCOME⚡️
816406	Reserved for Shandra	1	Home/Home Décor/Home Décor Accents		12.0	0	Blessed mug
782614	BEATS STUDIO	2	Electronics/TV, Audio & Surveillance/Headphones	Beats by Dr. Dre	65.0	0	Missing the aux cord. But headphones are in EUC! Make me offers!
996120	Brandy Melville denim jacket	2	Women/Coats & Jackets/Jean Jacket		46.0	0	Selling my Brandy jacket because I never wear it! It's basically brand new and it's really thick, good quality :)
1300491	Knicks jersey champion houston sz 40	3	Men/Athletic Apparel/Jerseys	Champion	27.0	1	No description yet
843410	Grey lace bralette	3	Women/Tops & Blouses/Tank, Cami	Gilly Hicks	5.0	1	Gilly hicks grey lace bralette. Tag is ripped out but it's a size small. Adjustable spaghetti straps. Festival. Rave. Boho. Hippie. Summer. Bralette. Gypsy.
740158	Sketchers Slip Resistant Shoes	2	Women/Shoes/Work & Safety	SKECHERS	31.0	0	No description yet
1238056	Sale pink boyshort Small	1	Women/Underwear/Panties	PINK	10.0	1	Free ship Bnwt
1367755	Cherry fishbowl slime	1	Kids/Toys/Arts & Crafts	Elmers	8.0	0	No description yet
1032978	Red Silk Kimono	3	Women/Dresses/Mid-Calf		40.0	0	100% Washed silk. Worn only once. Gorgeous neckline and side slits. Beautiful flower design. Says size 38 equivalent to US XS. I would model it but it doesn't fit me anymore. The side has a zipper and it buttons to the neck with snaps. Functional ties around neck and collar.
1296000	4 3 month size sleepers	3	Kids/Boys 0-24 Mos/One-Pieces	Carter's	15.0	1	Monkey, space, gator, terrycloth monster Some of these were never used, but have all been washed in seventh generation baby detergent. The gator and elephant are koala baby brand. The rest are carters. All 3 month size. Let me know if have any questions/ more pics.
551573	Takis fuego snacks 8 bags	1	Handmade/Toys/Food		20.0	0	8 takis fuego snacks 2oz bag
1011823	Polka dot shorts	3	Women/Athletic Apparel/Shorts	Under Armour	10.0	0	• under armour • size medium can fit small • good condition • bundle and save
1050764	Maybelline Volum'Express Mascara (412)	1	Beauty/Makeup/Eyes	Maybelline	6.0	1	Maybelline Volum'Express Mascara 412 Brownish Black| The Rocket -Brand New & Never Used • now clump free volume gets explosive • introducing our advanced, Patton, supersonic brush: it's hard-core and evenly spaced soft bristles give six times the volume, even from route to tip, and rocket time!
1116376	Rae Dunn STUFFED Mug	1	Home/Kitchen & Dining/Dining & Entertaining	Rae Dunn	31.0	0	Brand new.
182401	2x brand-new Victoria's Secret lanyards	1	Handmade/Accessories/Lanyard		10.0	1	Two adorable brand-new Victoria's Secret lanyards. You get both. Black and hot pink. Ships today
1337164	Black Bracelet- Hitmewithyourbestshot	1	Women/Jewelry/Bracelets		5.0	1	No description yet
772288	Converse	4	Kids/Girls 2T-5T/Shoes	Converse	12.0	0	Toddler size 6 converse Fair condition to be safe no flaws besides worn. Washed before posting No free ship
1391957	Puff Ball iPhone 6/6s Case	3	Electronics/Cell Phones & Accessories/Cell Phone Accessories	Apple	9.0	0	No description yet
1058535	35th anniversary Barbie	1	Vintage & Collectibles/Antique/Collectibles		26.0	0	I have two of these.
1345947	Rae Dunn office keep	1	Vintage & Collectibles/Collectibles/Glass		21.0	0	No description yet
1447438	Michael kors	2	Vintage & Collectibles/Bags and Purses/Purse	Michael Kors	46.0	0	Teal blue, perfect condition, only worn once, long strap
456643	Bebe XS Dress 2pcs Bundle	3	Women/Dresses/Above Knee, Mini	Bebe	86.0	0	Used ONCE- Exude street-chic charm in this bebe day-to-night dress, featuring luxe ruching at sides, round neckline, and cool dolman sleeves. Offers soft and comfortable stretch. Amp it up with a belt and statement necklace. * Viscose, spandex. * Hand wash. * Imported. * SKU 181603 * Style 709VL101J009 *
1142066	NWT(S)Boyshorts	1	Women/Underwear/Panties	Victoria's Secret	11.0	1	Super cute
270429	Yankeegirlz reserved scentsy	1	Home/Home Décor/Home Fragrance	Scentsy	10.0	1	Scentsy stuff
1369643	S boys Nike outfit	3	Kids/Boys (4+)/Bottoms	Nike	12.0	0	Shorts dri fit Nike size S (8) Only flaw pic two tiny spot Shirt xersion brand size S(8) No flaws
45204	Coach ZIP WALLET IN CROSSGRAIN LEATHER	1	Women/Women's Accessories/Wallets	Coach	79.0	1	"Crossgrain leather Twelve credit card and multifunction pockets Full-length bill compartment Zip coin pocket Outside open pocket Zip-around closure 7 3/4"" (L) x 4"" (H) Brand-new with tags attach retails for [rm] Price is firm the wallet it is well worth the money!!"
51249	VAPE PEN and CHARGER KIT with JUICE	1	Other/Office supplies/Electronics		13.0	1	SILVER VAPE PEN I will be throwing in a random bottle 1 bottle of 10ml JUICE. Please don't ask for special requests they're all good flavors that I have left there's nothing sour I try to make everyone happy but like I said the bottle of eJuice will be a random bottle Kit includes •1 pcs ego t battery •1pcs CE4 atomizer• •1pcs USB charger •1 pcs  blister package Info •800 puffs on full battery •600 mAh •Easy to refill •Locks with 5 clicks There is no nicotine and there is no tobacco in this product.
1371692	iPhone 7/7 Plus Marble Design Case	1	Electronics/Cell Phones & Accessories/Cases, Covers & Skins	Apple	13.0	1	iPhone 7/7 Plus Marble Design Case FAST FREE SHIPPING! Compatible: Apple iPhone 7 or 7 Plus  * Precise Cutouts Give Full Access To All Ports, Cameras, Mics  * Two-piece construction consisting of a silicone skin and a polycarbonate skeleton shell for added protection  * Slim, thin, and sturdy hybrid protective case. Hard back protection case with soft rubber side protection.  * Hard-molded polycarbonate wrapped in durable rugged rubberized thermoplastic material gives your mobile phone device the ultimate protection it deserves. Shock absorbent dual-layer makes this the ultimate Kids Friendly Case.   Slip your Armor Hybrid Mesh Soft Silicone Hard Tuff Shell Case Cover with custom fit Double Hybrid Case and experience the peace of mind of knowing your investment is well protected. Flexible, yet stronger and durable, Silicone Soft Skin material offers excellent shock absorption and abrasion resistance while maintaining a thin form factor.
380937	Rae Dunn Happy Birthday Mug	1	Home/Kitchen & Dining/Coffee & Tea Accessories	Rae Dunn	19.0	0	Rae Dunn Happy Birthday Mug Raedunntastic
1355270	2 pair of men joggers	2	Men/Athletic Apparel/Pants	Champs	22.0	0	No description yet
1260315	Summer dress	3	Women/Dresses/Above Knee, Mini	American Eagle	6.0	1	Really cute dress- picture doesn't really do well, but hopefully the ones I just added help out. Thanks!
608483	diary of a wimpy kid books	1	Other/Books/Children's Books		12.0	1	"im not sure if these have ever been read because theyre in great condition!! includes ""the last straw"" & ""the ugly truth""."
17722	Lisa's​ Jamberry Listing For GA	2	Beauty/Makeup/Nails		35.0	1	Listing for Lisa :) free shipping
823396	Artis Circle 1 Brush	2	Beauty/Tools & Accessories/Makeup Brushes & Tools		14.0	1	Brand New. Never used. Artis Circle 1 Brush. Came in a set. Box housed 3 brushes. I will put it in the box the that it came in when shipping out.
1028756	Mini glue gun	2	Kids/Toys/Arts & Crafts		10.0	0	No description yet
1053174	Authentic Chanel Sunglasses	3	Women/Women's Accessories/Sunglasses	Chanel	44.0	0	Previously used. There are scratches throughout sunglasses. There was a scratch on top covered with permanent marker, cant really notice it. Any questions please ask. Does come with box.
386642	VS Pink Black Bra	3	Women/Underwear/Bras	PINK	10.0	0	34c. No stains or holes.
979824	Z palette Round pans and Mini Round Pans	1	Beauty/Tools & Accessories/Other		12.0	1	NIP. Never used. The Minis were way smaller than I expected and I ended up liking the square ones over the round for the bigger size. I never made it made to ulta to return. Each pack contains 20 pans. Retails at [rm] plus shipping.
533437	Medium Carly Worn One Time	3	Women/Dresses/Asymmetrical Hem	LuLaRoe	44.0	0	Worn once. Excellent used condition. No rips, holes, or stains. Washed per Lularoe instructions.
1356345	Rue 21 Distressed Low Rise Skinny Jean	1	Women/Jeans/Slim, Skinny	Rue21	34.0	0	BNWT!! Size 3/4, low rise Flex skinny jeans!!
1438501	NBA 2K17 ps4	1	Electronics/Video Games & Consoles/Games		35.0	1	In perfect condition I ship the same day or next day PRICE FIRM PLEASE DON'T ASK Thank you for looking
84726	Sparkly Deer Bow Mint Tshirt Southern M	3	Women/Tops & Blouses/T-Shirts		0.0	1	Very gently used. Sparkly in back. It's a girl thing. Straight up Southern.
318122	Size 2 Diapers 4 Packs	1	Kids/Diapering/Disposable Diapers		25.0	0	2 pks pampers Baby dry size 2 , 1 pack Huggies snug & dry size 2 has ripon the pack never opened Huggies pack size 2. Little snuggles
813773	Yankee Candle Car Jar.	1	Home/Cleaning Supplies/Air Fresheners	Yankee Candle	7.0	1	1 Brand New Unopened Yankee Candle Car Jar. Smells Fantastic!!!
891531	Three pink collapsible storage bins	3	Home/Storage & Organization/Baskets & Bins		10.0	0	10 inches square 10 inches deep
275891	2 For [rm] + For 5banderton ONLY!!	1	Beauty/Makeup/Eyes		16.0	1	❤ 2 PAIRS + 2 DELUXE CASES ❤ Freshlook Colorblends ❤ Expiration: March 2020 ❤ No prescription ❤ Free Shipping ❤ FREE CASES INCLUDED ❤ Price is FIRM PLEASE DO NOT ASK! ❤ THIS SALE IS FOR: 2 Pairs of Freshlook Contact Lenses AMETHYST & TURQUOISE + 2 DELUXE CASES _______________________________________ Contacts lenses cases Freshlook Colorblends colored color any pick choose sale bundle free shipping beautiful beauty
854635	7 Pair of boys shorts.	3	Kids/Boys (4+)/Bottoms		31.0	0	Gray Lee Dungarees Size 16, Red pair Arizonia Size 20, Khaki Ecko size 16, Black Hurley Size 16, Levis Camo Size 18, Size 16 Knaki cargo shorts, Size 16 Old Navy Flat Front Shorts.
921605	AE Jegging	2	Women/Jeans/Slim, Skinny	American Eagle	23.0	0	Item: AEO Demin X Jegging Low Rise Size: 6 Condition: Brand new, without tags. Took them off but didn't like the way they fit me.
857076	Lularoe bnwt perfect xs chevron pink	1	Women/Tops & Blouses/T-Shirts		19.0	1	Lularoe bnwt perfect shirt xs blue purple pink colored stripe/chevron print. Doesnt fit me, cleaning out my collection. Thanks for looking! :)
149635	Bella Breast Enhance Scream 3.5oz	1	Beauty/Skin Care/Body		8.0	1	Brand new in sealed box. Price firm. 100% Authentic Bella Cream Breast & Butt Enlargement. Very SAFE & EFFECTIVE! Will ship asap. Thank you ❤ Simply Great Product with Fast results if used properly! It was designed to increase the size and improve the shape of Breasts! It will definitely increase the size of Butts too because of its Pueraria Mirifica content How to use 1: Spread a good amount of the cream all over the breast except the nipples. 2: Bend your body slightly forward and massage your breast from the bottom up 10 times using both  hands around each side of the breast. Do the same for the other breast also 10 times. 3: Massage from the armpit to the cleavage 10 times. 4: With the middle and the ring fingers, pull your chest ligament a couple of times to strengthen them and keep your breast from sagging.
390543	XXS Irma	3	Women/Tops & Blouses/Tunic		25.0	1	LuLaRoe XXS Irma Lavender with black micro stripes Gently used
1060708	Grey Adidas NMD 6	3	Women/Shoes/Athletic	Adidas	146.0	0	Worn handful of times. Still in great condition. Comes with original box and extra pair of shoelaces.
242822	(200) 7.5X10.5 Poly Mailers	1	Other/Office supplies/Shipping Supplies		27.0	0	(200) 7.5X10.5 - Hot Pink Always ships same or next business day (6 days a week) - YES I BUNDLE! Check my listings for other sizes Pricing for 7.5X10.5: 30 = [rm] 40 = [rm] 50 = [rm] 60 = [rm] 100 = [rm] - 2.5mil high quality - Water & Tear Resistance - Superior side seams - Pressure sensitive self seal - Light Weight & Time Saving - 100% recyclable - NOT padded - BUNDLE AND SAVE - PRODUCTS AVAILABLE: Polymailers Bubble Mailers Thank You Stickers Fragile Stickers Shipping Labels 10X13 Clear Cello Bags ‼️Price is firm‼️
335437	Ben nye luxury powder new sealed	1	Beauty/Makeup/Face		7.0	1	New sealed
266055	Saucony Grid 9000	2	Men/Shoes/Athletic	Saucony	35.0	0	Good condition Comes properly cleaned and sanitized Sz 8.5
1169642	TOO FACED PEACHES GLOW PALETTE	1	Beauty/Makeup/Makeup Palettes	Too Faced	32.0	1	BNIB
1205030	Muk Luks Women's Lilac Slippers 9-10	1	Women/Shoes/Slippers		16.0	0	New
56374	VS PINK MAROON AND ORANGE HOODIE M	3	Women/Sweaters/Full Zip	PINK	28.0	0	Size medium Worn a handful of times Great condition Maroon colour with orange logo
541999	Vintage wicker wine picnic basket	3	Home/Home Décor/Baskets		18.0	0	Holds 4 wine Glasses, and has two side pockets with room from two bottles.
738863	Xhilaration Bow sweater dress	4	Women/Dresses/Above Knee, Mini	Xhilaration	7.0	0	Black bow sweater dress Size: small Condition: does have some pilling due to wear Price: [rm]
412750	Girls cold shoulder sweater	2	Kids/Girls (4+)/Tops & T-Shirts		10.0	0	Heart shoulder off the shoulder great condition, the heart is silver sequins. Says it's 4t, but can fit 5t
1364173	Lebron James blue jersey	2	Men/Athletic Apparel/Jerseys	Adidas	40.0	1	Adult large Never worn
707167	Set of 2 EOS Lip Balm	1	Beauty/Skin Care/Lips	eos	14.0	0	Sheer pink and pearl shimmer for shimmery and soft lips. Brand new and never used or opened.
1432754	Ariat Teal, Brown, And Pink Boots	2	Women/Shoes/Boots	Ariat	60.0	1	These Are Very Cute Boots For Women These Boots Were Bought For About [rm] -Colors:Brown,Teal,And Pink -Size:8 BRAND NEW ONLY WORN ONCE!
143667	Celebrity long black 30 inch lace wig	1	Women/Women's Accessories/Hair Accessories		73.0	0	The wow factor celebrity 30 inch L Part Syn/human blendLace Front Wig High Density Jet Black Front Lace Wig this wig is long black and bold heat resistant can be worn in a high bun braided or curled all low ballers will be ignored and blocked the pictures are real
714372	Lv doggy purse	1	Women/Women's Handbags/Shoulder Bag		41.0	0	Lv inspired doggy bag. My dog is too big. He's 20lbs. Better for a 15 lb or smaller dog
635061	Baby Bottle Bundle	3	Kids/Feeding/Bottle-Feeding	Dr. Brown's	11.0	0	Bundle Includes.. 5 8 oz Dr Browns 2 9 oz Nuby 3 9 oz Tommee Tippee 3 5oz Medela (one has nipple two have storage caps) 2 4 oz Avent Sippy Cups They have all been boiled so they are a little foggy and will all need washed because they have been in a tote for storage. Other than that good used condition. I'm only asking [rm] plus ship, so I'm not willing to separate.
879669	Makeup Train Case	3	Beauty/Tools & Accessories/Bags & Cases		26.0	0	EUC Pink and silver makeup case. No scuffs or dents on body. Few makeup stains on lining, not permanent. It has 2 folding sides, only one has 2 staircase trays.rays are movable but not removable. Smoke and pet free.
1021842	Women's slim ankle joggers	2	Women/Pants/Casual Pants		10.0	0	on trend slim fit joggers..size medium
1243863	Silver CZ Hip Hop Men's Stud Earrings	1	Women/Jewelry/Earrings		15.0	1	"you are looking at a pair of wonderful 925 silver and cubic zirconia hip hop stud earrings. These fine earrings feature top quality cubic zirconia set in micro pave setting design with great sparkle and they measure 3/8"" on each side or 10 x 10 mm.These earrings are stamped 925 with the weight of 2.40 grams and they are covered in 14k white gold for long lasting shine with screw back. These earrings are in real silver and they are covered with white gold fir long lasting shine. Please purchase with confidence. Any questions, feel free to contact me. Thank you fir visiting."
1153605	blouse	2	Women/Tops & Blouses/Blouse		4.0	1	Navy Green blouse
1463132	Lularoe dragonflies tween leggings	2	Women/Athletic Apparel/Pants, Tights, Leggings		35.0	1	Beautiful gold dragonflies on a black with lighter spots background. These are size tween made in Vietnam. New without tag.
1226821	Galaxy Mouse Pad	1	Electronics/Computers & Tablets/Components & Parts		7.0	0	Brand new
494940	Catrice Professional Contouring Palette	1	Beauty/Makeup/Makeup Palettes		7.0	1	New & Unused. Free Shipping.
209049	VS PINK HTF HOODIE AND BASEBALL SHIRT	3	Women/Sweaters/Full Zip	Victoria's Secret	51.0	0	Victoria's SECRET PINK SIZE: XSMALL shirt small hoodie FIT:true to size both fit a small best CONDITION: excellent used condition ❌PRICE IS FIRM❌meaning this is the lowest ❌NO FREE SHIP❌ ❌NO HOLDS❌ ❤️BUNDLE AND SAVE (on non-flash items) ‼️SHIPS SAME OR NEXT DAY MONDAY- SAT‼️ ⚡️⚡️BUY NOW, PRICES WILL INCREASE ON OCT 18 I am very friendly and easy to work with please be respectful of what's stated; if you ask a question and its answered in the listing I will refer you here. ❤️❤️THANK YOU SO MUCH❤️❤️
587172	Air Jordan 7 retro	3	Men/Shoes/Athletic	Air Jordan	50.0	1	Not much wear and tear. Air Jordan 7 retro. Make me an offer!!! ( insoles are removed ) trying to sell and ship today before 1pm
1263139	GlamGlow Power Cleanse	1	Beauty/Skin Care/Face	Sephora	20.0	0	Brand new GlamGlow Power Cleanse daily dual cleanser 2.5 oz . Retails for [rm]
30192	The Allman brothers band shirt	4	Men/Tops/T-shirts	Hanes	8.0	0	Shroom the Allman brothers band t shirt
1097562	12 Baby/toddler headband lot	1	Kids/Girls 0-24 Mos/Accessories		10.0	1	New
487753	VS PINK 32C Green Leopard Lace Bra	2	Women/Underwear/Bras	PINK	11.0	0	"Push-up bra ""PINK"" banding around bottom Print no longer available in stores"
